Store_ID,Size_1,Size_2,Size_3,Size_4
1,0,4,8,4
2,0,0,3,13
3,0,1,0,5
4,3,7,0,0
5,0,0,2,5
6,1,2,4,1
7,2,2,1,0
8,0,3,8,4
9,0,3,1,1
10,0,0,2,13
11,0,0,4,2
12,0,0,7,10
13,4,5,9,1
14,0,0,7,4
15,0,1,0,0
16,0,0,2,3
17,0,0,3,3
18,0,1,2,0
19,1,2,4,4
20,1,5,0,0
21,0,3,0,0
22,2,2,1,0
23,4,5,0,0
24,2,5,0,0
25,1,0,2,1
26,0,0,1,7
27,0,0,4,2
28,0,0,1,7
29,1,6,3,0
30,0,4,1,0
31,0,2,3,3
32,0,2,0,0
33,2,2,0,0
34,2,4,6,0
35,2,6,3,0
36,0,2,4,5
37,0,1,4,7
38,1,1,4,0
39,1,6,4,1
40,0,0,5,6
41,0,0,2,2
42,0,1,2,0
43,0,3,3,1
44,0,1,6,8
45,2,1,1,0
46,0,4,2,0
47,0,1,2,5
48,1,0,4,7
49,0,3,8,2
50,0,2,0,2
51,0,0,2,13
52,1,5,4,0
53,0,0,2,12
54,0,0,4,13
55,0,5,6,5
56,0,0,1,12
57,0,0,3,4
58,2,2,2,0
59,0,0,2,3
60,0,0,3,8
61,0,0,1,8
62,1,3,2,0
63,1,6,2,0
64,0,3,5,1
65,2,8,0,0
66,0,0,3,4
67,2,2,4,0
68,6,4,5,0
69,0,0,1,4
70,1,0,4,2
71,0,0,1,7
72,0,0,4,8
73,0,3,1,0
74,0,0,1,10
75,0,3,7,2
76,3,2,0,1
77,1,2,5,0
78,0,0,0,6
79,0,2,12,2
80,0,0,2,0
81,0,0,1,9
82,0,1,3,2
83,1,3,6,0
84,1,1,2,0
85,0,0,2,5
86,0,2,1,1
87,0,3,2,5
88,4,2,4,2
89,1,7,1,0
90,5,1,5,0
91,0,0,0,2
92,0,0,0,5
93,1,3,3,1
94,0,0,1,10
95,3,2,1,0
96,0,0,4,3
97,0,0,1,7
98,1,2,1,0
99,0,0,2,4
100,1,3,0,0
101,0,0,2,8
102,2,4,3,1
103,4,2,1,0
104,0,1,5,8
105,0,0,4,14
106,0,0,2,3
107,2,1,4,1
108,0,0,4,3
109,1,2,1,0
110,0,7,5,0
111,0,0,2,3
112,0,0,3,2
113,5,6,9,0
114,0,1,2,7
115,0,0,3,5
116,5,8,3,0
117,0,0,2,5
118,2,3,3,0
119,0,5,2,1
120,0,1,5,5
121,0,0,4,9
122,0,2,2,7
123,3,8,5,0
124,2,2,1,0
125,1,2,3,1
126,0,2,5,3
127,0,0,3,11
128,0,2,4,3
129,1,1,2,1
130,0,0,1,1
131,0,0,1,9
132,0,2,1,3
133,0,0,0,6
134,0,3,6,0
135,0,0,4,9
136,0,2,4,3
137,2,6,1,1
138,4,7,2,0
139,2,6,1,0
140,0,1,2,11
141,1,0,5,8
142,1,2,1,0
143,0,0,0,2
144,4,6,0,0
145,0,1,4,0
146,0,0,0,4
147,0,1,4,3
148,1,4,4,0
149,0,1,2,1
150,2,3,0,0
151,0,8,4,1
152,0,3,0,0
153,2,0,0,0
154,4,5,2,0
155,1,3,4,1
156,0,2,2,0
157,1,2,1,0
158,0,0,0,7
159,4,2,1,0
160,4,2,0,0
161,1,6,0,0
162,0,1,4,3
163,3,3,0,0
164,1,4,2,2
165,0,1,2,5
166,0,6,7,0
167,0,2,4,0
168,1,2,0,0
169,0,1,3,0
170,0,0,3,4
171,0,0,5,10
172,2,3,1,0
173,3,6,4,0
174,0,1,2,3
175,0,3,3,0
176,0,0,0,4
177,0,0,2,3
178,0,1,2,4
179,0,1,3,6
180,4,1,2,0
181,2,2,3,1
182,0,1,4,0
183,1,8,1,1
184,3,3,4,0
185,0,0,1,5
186,0,2,3,0
187,1,5,5,0
188,0,0,2,5
189,0,1,1,6
190,0,0,2,3
191,0,1,3,1
192,0,3,8,1
193,2,9,3,0
194,0,2,7,2
195,0,3,4,3
196,0,0,2,3
197,1,6,0,0
198,1,11,4,0
199,1,5,5,0
200,0,0,1,5
201,3,5,1,0
202,0,4,1,0
203,0,0,2,5
204,0,2,4,11
205,2,7,3,1
206,0,0,3,1
207,0,3,5,1
208,2,2,4,0
209,0,0,2,3
210,0,1,1,1
211,0,3,4,2
212,0,1,3,6
213,0,0,2,5
214,0,1,3,3
215,2,2,3,0
216,4,1,1,0
217,4,3,3,0
218,0,1,8,6
219,5,5,2,0
220,0,0,3,9
221,0,1,3,0
222,0,4,2,0
223,0,6,6,1
224,2,1,5,0
225,0,1,5,3
226,1,3,2,0
227,8,5,1,0
228,1,2,1,0
229,0,0,6,13
230,0,0,5,7
231,1,3,2,0
232,0,3,1,4
233,0,0,2,8
234,0,0,3,11
235,0,0,3,1
236,2,3,1,0
237,0,3,2,2
238,0,0,5,2
239,0,2,4,4
240,0,1,1,3
241,0,0,7,4
242,0,0,4,9
243,1,6,3,0
244,1,5,3,3
245,0,0,3,2
246,0,0,3,10
247,3,6,3,0
248,3,11,2,0
249,3,8,1,0
250,6,5,1,0
251,0,0,3,6
252,0,4,3,3
253,3,5,2,0
254,1,5,4,0
255,0,3,4,1
256,0,0,2,10
257,0,1,7,1
258,1,2,1,2
259,3,5,4,0
260,0,0,0,6
261,0,4,3,0
262,4,5,1,0
263,2,1,0,0
264,0,0,2,3
265,4,4,5,0
266,0,1,2,4
267,0,0,3,8
268,0,1,3,4
269,1,6,1,1
270,0,0,1,2
271,0,6,11,1
272,6,7,2,0
273,0,0,4,6
274,0,6,8,2
275,3,3,2,0
276,0,1,2,8
277,1,6,2,1
278,0,1,3,9
279,0,3,3,1
280,0,0,2,3
281,0,0,1,7
282,0,4,1,0
283,0,0,6,4
284,0,0,6,2
285,1,3,2,0
286,0,1,3,1
287,2,6,4,0
288,1,7,4,1
289,6,2,0,0
290,0,0,2,7
291,0,2,3,3
292,0,0,1,9
293,0,1,1,12
294,0,0,4,3
295,2,3,1,0
296,0,1,1,8
297,4,8,1,0
298,4,2,1,0
299,0,5,5,2
300,0,1,6,1
301,0,0,2,4
302,6,5,2,0
303,0,0,2,2
304,0,2,6,1
305,5,5,2,0
306,2,4,4,0
307,0,3,3,2
308,0,1,3,2
309,4,1,1,0
310,0,0,1,6
311,0,0,1,4
312,5,3,2,0
313,0,1,5,1
314,0,0,4,7
315,3,7,1,1
316,6,3,1,0
