Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6
1,0,0,1,2,3,6
2,0,0,3,5,6,3
3,3,4,3,0,0,0
4,0,0,1,3,6,2
5,0,0,0,2,7,7
6,3,4,2,0,0,0
7,0,1,6,3,0,0
8,0,1,4,4,5,0
9,2,9,4,1,0,0
10,1,3,11,5,1,0
11,0,0,3,2,0,1
12,2,5,7,1,2,0
13,0,1,0,4,8,9
14,0,0,0,1,2,4
15,0,0,1,4,2,0
16,0,0,0,5,9,1
17,3,2,4,4,1,0
18,5,7,2,2,0,0
19,0,0,0,2,4,6
20,0,0,2,2,3,2
21,0,1,3,1,3,0
22,0,0,0,1,3,4
23,0,1,3,1,1,0
24,0,0,0,3,7,6
25,0,2,4,3,4,0
26,0,0,0,1,6,8
27,3,7,1,0,0,0
28,0,4,2,11,0,0
29,2,12,7,5,2,0
30,0,1,0,5,5,2
31,4,4,1,0,0,0
32,0,0,1,0,0,7
33,0,0,1,3,0,4
34,0,0,1,9,6,3
35,0,4,3,6,3,2
36,0,0,3,8,6,2
37,0,0,3,2,5,3
38,0,0,0,0,1,7
39,0,3,1,3,1,1
40,0,0,1,3,5,8
41,0,1,0,2,3,3
42,0,0,0,2,5,2
43,0,0,0,0,1,5
44,0,0,1,3,6,9
45,0,1,1,1,1,5
46,0,0,0,0,6,5
47,0,0,3,5,6,0
48,0,2,7,9,2,0
49,0,0,3,5,6,2
50,1,4,0,0,1,0
51,0,0,0,2,7,9
52,0,1,3,2,2,3
53,0,2,3,7,5,7
54,1,0,5,3,4,1
55,0,0,0,3,1,5
56,0,0,0,3,3,11
57,0,0,7,3,3,0
58,0,0,0,0,5,5
59,0,0,0,4,3,5
60,0,0,1,1,1,1
61,3,1,4,4,1,0
62,0,0,0,0,6,3
63,1,6,6,4,4,2
64,0,1,5,5,1,1
65,0,1,1,0,4,3
66,0,1,2,3,3,3
67,0,0,0,0,4,9
68,0,3,6,4,5,1
69,2,4,2,4,0,0
70,1,1,3,5,5,0
71,7,6,4,3,0,0
72,1,2,0,2,0,0
73,0,0,0,1,3,4
74,6,3,8,1,0,0
75,0,1,0,5,3,6
76,0,0,1,2,4,5
77,2,3,3,1,0,0
78,0,1,2,1,1,4
79,6,5,5,0,0,0
80,0,0,2,4,2,5
81,6,9,7,2,0,0
82,0,1,3,3,3,2
83,0,0,0,0,3,14
84,2,1,1,0,0,0
85,1,1,5,4,4,1
86,0,0,0,3,6,8
87,0,0,0,3,5,5
88,0,0,0,1,6,3
89,0,0,1,5,4,6
90,2,4,5,2,1,0
91,0,0,1,4,2,0
92,0,0,0,8,4,4
93,1,2,7,6,5,1
94,0,0,4,4,3,2
95,5,6,1,1,0,0
96,0,1,2,1,5,2
97,0,0,0,1,4,12
98,0,2,8,3,5,0
