Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8
1,3,6,4,1,1,0,0,0
2,1,6,4,8,4,2,0,0
3,0,3,2,6,6,2,2,0
4,0,0,0,2,3,4,3,5
5,0,0,1,5,0,4,1,1
6,0,0,1,1,1,1,0,1
7,0,0,0,2,3,4,2,2
8,0,1,4,4,3,2,1,1
9,3,8,4,6,2,0,0,0
10,0,0,2,0,2,5,0,1
11,0,0,0,0,0,1,3,6
12,0,2,3,2,3,2,0,2
13,0,1,2,4,7,5,5,4
14,0,0,1,1,4,3,1,1
15,1,0,1,1,3,2,0,0
16,0,2,6,1,0,0,0,0
17,7,7,3,3,0,0,0,0
18,2,3,5,7,2,1,1,0
19,0,0,0,3,4,5,4,3
20,0,1,5,1,3,1,0,0
21,5,12,6,2,2,0,0,0
22,0,0,2,2,0,4,1,0
23,2,1,1,3,1,0,0,0
24,3,2,2,5,6,1,0,0
25,0,1,3,5,5,4,3,0
26,4,3,3,3,2,0,0,0
27,4,4,1,1,0,0,0,0
28,4,4,3,5,2,0,0,0
29,0,0,0,5,1,3,6,2
30,0,0,2,4,2,2,3,1
31,3,5,7,4,2,0,1,0
32,0,0,1,4,1,0,1,0
33,0,1,2,2,4,1,0,0
34,0,0,1,3,4,5,4,6
35,0,3,4,3,9,6,0,1
36,2,4,5,4,4,1,0,0
37,0,0,0,0,2,6,5,9
38,0,0,0,1,2,6,2,3
39,0,0,0,0,0,4,3,3
40,0,5,5,3,2,5,0,0
41,0,4,4,2,0,0,0,0
42,0,0,2,3,5,9,2,1
43,0,0,4,1,0,1,0,0
44,2,4,4,10,2,1,0,0
45,1,0,3,4,3,1,1,0
46,0,0,1,2,1,1,5,1
47,0,0,0,1,3,8,5,1
48,0,0,0,0,2,3,6,6
49,0,0,4,2,10,3,6,0
50,2,2,3,1,1,0,0,0
51,0,0,1,12,4,14,3,3
52,0,1,0,2,5,2,5,4
53,0,1,0,4,6,3,3,0
54,1,4,7,4,6,0,1,0
55,5,6,6,4,4,0,0,0
56,0,0,0,1,3,3,8,13
57,2,1,1,0,2,0,0,0
58,0,0,0,1,1,1,1,3
59,2,4,4,3,3,1,0,0
60,0,0,0,0,2,2,3,8
61,0,3,4,6,5,0,0,0
62,4,1,1,2,1,0,0,0
63,1,0,3,1,6,8,4,1
64,0,0,1,2,2,6,2,5
65,0,0,0,0,1,2,7,2
66,0,0,0,1,2,5,6,2
67,1,1,5,3,0,0,2,0
68,4,4,6,4,5,1,0,0
69,1,1,3,3,3,2,1,0
70,1,9,3,8,1,1,0,0
71,0,0,1,0,1,3,9,4
72,0,2,1,0,2,1,1,1
73,4,1,0,2,1,0,0,0
74,0,0,2,3,2,3,5,1
75,1,1,3,5,4,4,4,1
76,6,6,3,0,0,0,0,0
77,1,4,2,0,0,0,0,0
78,0,2,5,2,1,1,1,0
79,1,1,8,2,2,0,1,0
80,0,0,0,0,0,1,3,8
81,2,8,11,6,6,0,0,0
82,6,6,5,2,1,0,0,0
83,0,0,0,0,1,5,6,6
84,0,0,0,1,1,3,5,3
85,0,0,1,3,7,6,2,2
86,0,1,4,2,4,2,2,2
87,1,4,3,5,4,0,1,0
88,0,4,5,2,2,3,2,1
89,0,0,0,0,3,6,7,7
90,5,5,4,0,2,0,0,0
91,5,2,2,1,1,0,0,0
92,0,0,0,1,3,2,1,8
93,2,1,2,3,3,7,0,0
94,0,0,0,0,1,6,6,9
95,0,0,1,0,4,5,7,2
96,1,8,2,3,0,0,0,0
97,0,1,6,4,7,3,1,1
98,1,2,5,5,4,3,2,0
99,2,2,1,5,3,1,0,0
100,0,0,0,1,1,2,1,1
101,0,0,1,1,1,2,2,2
102,0,0,0,0,1,4,9,11
103,0,1,0,1,3,5,5,1
104,1,0,1,3,4,3,3,2
105,2,5,9,4,4,2,0,0
106,4,3,2,4,0,0,0,0
107,0,0,0,2,1,3,3,4
108,0,0,0,0,0,3,5,12
109,3,3,3,5,0,0,0,0
110,0,0,0,0,2,2,5,3
111,0,0,1,0,5,7,1,0
112,1,1,5,2,1,2,0,0
113,0,1,2,3,11,4,4,1
114,4,9,6,0,1,0,0,0
115,0,0,1,5,5,1,3,0
116,0,2,3,6,8,5,3,2
117,9,7,9,2,2,1,0,0
118,0,0,0,1,0,4,4,2
119,0,1,2,5,11,3,6,2
120,0,0,0,0,1,6,6,4
121,0,0,0,1,5,8,7,5
122,2,8,5,6,3,1,0,0
123,0,0,0,1,3,4,3,4
124,4,2,1,3,2,1,0,0
125,0,0,3,3,1,2,0,1
126,0,0,0,1,3,2,8,6
127,0,0,1,2,3,5,13,6
128,0,0,0,3,2,6,3,8
129,0,0,0,0,2,0,3,5
130,4,4,3,4,1,0,0,0
131,0,0,0,0,5,5,5,3
132,0,0,0,1,0,4,3,4
133,0,0,0,0,1,1,4,1
134,1,4,3,5,6,3,3,0
135,0,0,1,3,7,6,7,8
136,0,0,0,2,4,3,3,1
137,2,5,2,3,5,3,3,0
138,0,0,4,3,5,5,2,0
139,0,0,0,0,1,4,6,7
140,0,0,0,1,2,8,5,9
141,0,0,0,1,4,4,4,6
142,0,0,1,2,3,3,2,3
143,4,5,5,2,1,0,0,0
144,0,0,1,3,2,6,8,2
145,0,0,0,1,0,0,6,0
146,0,0,1,2,3,4,1,1
147,3,2,2,6,2,1,0,0
148,1,4,4,3,2,2,2,0
149,1,4,2,1,1,0,0,0
150,3,3,3,1,1,0,0,0
151,2,7,3,6,5,5,1,0
152,0,4,3,3,1,0,0,0
153,0,0,0,1,3,1,8,1
154,1,3,3,6,6,2,0,2
155,0,1,1,3,10,8,3,3
156,0,1,0,1,4,0,0,1
157,0,0,0,0,3,1,5,7
158,0,2,6,3,5,3,1,0
159,0,0,2,1,0,1,1,0
160,1,5,3,5,4,1,0,1
161,1,0,2,3,6,5,5,4
162,0,0,0,2,4,3,3,4
163,0,2,0,3,7,3,2,1
164,0,0,1,2,3,3,1,5
165,0,0,0,0,2,0,6,5
166,0,3,10,9,2,2,0,1
167,0,0,3,2,8,4,3,3
168,0,0,0,0,1,2,3,3
169,1,1,3,3,0,0,0,0
170,3,1,3,6,2,0,0,0
171,0,0,0,1,2,5,2,11
172,0,0,0,1,3,4,2,0
173,0,4,1,6,2,4,2,0
174,4,3,4,3,0,0,0,0
175,3,5,3,4,3,0,0,0
176,1,2,6,3,0,0,0,0
177,4,7,8,3,0,1,0,0
178,0,0,0,2,2,4,4,3
179,0,2,0,3,3,9,5,0
180,0,0,7,1,0,0,0,0
181,5,5,5,8,2,3,0,0
182,0,2,6,2,1,1,0,0
183,2,6,10,8,5,4,2,1
184,0,0,1,1,6,3,6,1
185,0,0,0,1,1,1,3,8
186,4,4,6,1,4,0,0,0
187,1,2,3,7,3,2,4,0
188,0,1,2,4,1,6,5,0
189,6,7,5,0,0,0,0,0
190,0,0,0,0,1,4,5,4
191,0,0,1,0,0,4,1,0
192,3,5,7,3,2,1,0,0
193,2,3,5,9,7,2,1,0
194,0,2,1,2,4,2,3,1
195,0,0,0,0,0,6,4,6
196,0,1,2,2,5,5,0,1
197,1,2,5,2,3,1,1,0
198,6,9,7,0,3,0,0,0
199,0,1,1,7,7,2,2,2
200,4,3,4,2,2,1,1,0
201,0,0,2,1,2,5,4,1
202,0,0,5,4,3,1,0,0
203,0,0,0,1,1,2,3,2
204,0,5,2,1,4,8,0,0
205,0,0,0,0,4,3,6,7
206,3,3,3,2,0,1,0,0
207,0,0,0,0,2,2,1,1
208,6,7,8,4,0,1,0,0
209,0,0,0,1,1,1,3,7
210,0,1,1,2,5,3,2,2
211,0,0,0,0,3,1,3,0
212,2,2,6,3,0,2,0,0
213,1,6,5,4,4,3,0,0
214,1,3,2,1,1,3,1,0
215,0,0,0,1,0,5,4,8
216,0,0,1,2,3,4,1,0
217,1,3,2,2,4,2,2,0
218,0,2,1,3,2,3,5,0
219,0,0,3,3,2,4,0,0
220,0,0,0,1,0,3,11,5
221,0,0,1,2,1,4,5,4
222,4,5,4,4,2,1,1,0
223,0,0,0,0,0,2,4,1
224,3,5,2,1,5,3,0,0
225,0,1,1,4,0,0,0,0
226,0,1,3,1,4,1,2,0
227,0,0,1,1,0,6,10,10
228,0,0,0,0,2,6,10,4
229,5,9,6,3,2,1,0,0
230,0,0,0,1,3,5,5,4
231,0,0,0,2,4,1,2,1
232,4,4,6,3,2,1,1,0
233,0,0,1,2,3,1,5,1
234,0,0,0,0,2,4,8,2
235,0,2,0,5,0,0,0,0
236,3,3,4,6,2,1,1,0
237,0,0,0,0,1,4,1,4
238,0,1,0,1,3,4,3,1
239,4,5,3,4,2,0,0,0
240,0,0,0,1,0,2,1,4
241,0,0,0,2,4,6,8,12
242,0,0,0,0,3,9,10,14
243,0,0,0,2,3,4,14,9
244,0,2,3,4,6,2,3,0
245,0,0,0,0,0,4,1,2
246,0,0,0,0,5,10,3,5
247,0,1,4,4,1,0,3,0
248,0,3,6,6,4,7,1,0
249,0,2,2,5,6,2,4,0
250,2,2,5,9,3,4,2,0
251,0,0,4,3,2,0,2,0
252,0,0,0,1,4,2,7,4
253,1,1,2,3,2,6,3,2
254,0,0,3,0,2,5,3,1
255,0,0,0,0,1,0,4,2
256,4,4,5,9,3,0,1,0
257,4,5,6,6,3,0,1,0
258,0,3,4,3,7,2,1,2
259,0,0,0,1,3,3,6,3
260,2,1,4,1,3,1,0,0
261,0,1,0,0,6,1,6,3
262,0,0,0,2,5,5,3,6
263,0,1,1,1,2,6,2,0
264,2,4,3,5,4,1,0,0
265,0,5,5,6,1,2,4,0
266,6,2,0,6,3,1,0,0
267,6,4,5,3,2,0,0,0
268,0,0,0,0,3,5,4,5
269,3,5,4,0,1,0,0,0
270,1,4,2,1,1,0,0,0
271,12,15,3,3,0,0,0,0
272,0,0,1,2,7,7,2,3
273,0,1,3,3,14,10,7,3
274,1,4,4,3,1,0,0,0
275,5,7,4,2,0,1,0,0
276,0,0,0,0,0,0,6,11
277,0,0,0,2,6,7,5,4
278,0,0,1,2,3,3,3,0
279,0,1,3,3,1,3,4,0
280,0,0,2,2,9,1,2,1
281,0,1,3,5,6,10,9,0
282,4,4,6,0,1,2,1,0
283,0,0,3,2,8,6,5,1
284,0,0,0,0,3,3,1,3
285,0,0,0,1,1,6,7,4
286,0,0,1,2,1,0,1,1
287,0,0,0,0,8,5,3,5
288,2,6,3,2,6,1,0,0
289,1,0,3,1,2,1,0,1
290,0,0,1,2,1,5,5,1
291,0,0,0,0,2,6,2,1
292,0,0,1,5,3,4,1,0
293,4,8,6,7,5,1,0,0
294,0,0,2,4,5,4,3,0
295,0,0,0,0,6,2,1,5
296,0,0,0,1,4,2,4,7
297,2,6,3,6,1,1,3,1
298,3,2,3,0,2,2,0,0
299,0,0,0,0,1,8,3,1
300,0,1,2,2,5,1,1,0
301,0,1,3,0,2,0,0,0
302,0,0,0,1,0,3,8,3
303,0,0,0,0,3,4,8,8
304,0,1,3,5,6,3,2,0
305,0,0,1,0,0,5,7,12
306,2,6,2,2,4,2,1,1
307,2,0,4,1,6,3,1,0
308,0,0,0,0,3,5,7,7
309,0,1,2,3,2,0,1,0
310,0,0,1,1,7,1,1,0
311,0,1,4,3,6,1,1,0
312,0,4,3,1,1,0,0,0
313,4,1,2,3,2,1,0,0
314,0,0,0,0,4,5,7,7
315,0,1,8,12,7,2,3,1
316,4,2,4,2,0,0,0,0
317,5,3,6,3,3,1,0,0
318,0,0,1,2,3,5,1,0
319,0,0,0,0,0,9,4,5
320,3,3,5,2,0,0,0,0
321,7,9,6,1,1,0,0,0
322,1,2,5,6,2,0,1,0
323,1,0,1,0,1,5,5,0
324,0,0,0,0,0,2,4,8
325,0,3,7,10,2,0,0,0
326,0,5,10,1,1,0,0,0
327,1,2,3,7,1,2,0,0
328,0,0,1,1,3,10,6,2
329,1,2,6,2,2,1,0,0
330,0,1,0,2,3,2,3,0
331,4,3,3,2,2,1,0,1
332,7,2,8,5,0,0,0,0
333,0,0,1,1,0,3,7,2
334,2,1,0,6,0,1,0,0
335,4,4,3,5,2,0,1,0
336,0,2,5,3,1,0,1,0
337,5,6,9,8,4,1,0,1
338,0,0,3,3,3,5,2,0
339,0,1,1,5,6,4,0,0
340,3,4,1,3,1,0,0,0
341,0,0,0,1,4,3,3,5
342,0,0,0,1,3,3,6,9
343,0,0,0,0,0,3,1,4
344,0,0,0,0,1,2,5,7
345,0,0,0,1,3,5,6,2
346,4,5,2,3,2,0,1,0
347,2,1,3,6,1,2,3,1
348,0,0,0,2,3,3,2,3
349,1,1,0,5,5,4,2,4
350,2,3,1,5,0,1,1,0
351,2,2,5,1,2,1,0,0
352,0,0,0,2,3,3,6,5
353,0,0,0,0,0,2,3,4
354,1,0,2,7,2,4,1,1
355,0,1,1,0,1,2,5,0
356,1,1,3,5,4,3,2,1
357,0,0,0,0,1,3,3,4
358,1,2,5,6,2,1,0,0
359,0,1,1,8,7,6,4,2
360,2,1,3,5,3,2,0,0
361,6,5,5,1,1,0,0,0
362,0,0,1,2,6,1,4,2
363,0,0,0,0,1,0,2,8
364,0,0,0,1,3,3,7,9
365,0,0,0,0,1,9,6,11
366,0,0,0,3,4,2,5,8
367,0,1,0,6,5,6,6,6
368,0,1,0,1,4,3,6,5
369,0,0,0,0,0,0,3,3
370,1,0,6,1,1,0,1,0
371,0,0,0,2,1,3,1,1
372,0,0,0,0,0,2,3,3
373,2,2,6,1,1,0,0,0
374,0,4,9,7,1,4,0,0
375,2,1,1,2,1,0,0,0
376,0,0,0,0,0,3,4,7
377,0,1,4,4,4,6,3,2
378,1,0,0,2,2,2,1,0
379,6,8,4,3,0,1,0,0
380,1,1,1,2,2,0,2,0
381,0,0,1,0,0,3,3,2
382,0,0,1,6,6,4,1,1
383,0,0,0,0,1,5,5,6
384,0,0,0,1,3,4,8,7
385,2,0,4,2,2,4,2,0
386,0,1,1,3,12,7,2,5
387,0,0,0,1,1,2,2,1
388,1,1,3,2,0,1,0,0
389,0,0,0,0,8,5,3,3
390,0,0,0,0,1,1,9,9
391,3,8,7,9,4,0,0,0
392,0,0,0,0,1,0,7,10
393,1,0,1,4,4,5,3,0
394,2,1,7,9,5,1,1,1
395,0,4,2,2,7,2,2,0
396,5,7,6,5,2,1,0,0
397,10,11,10,2,2,0,0,0
398,4,7,4,5,1,0,0,0
399,0,0,0,0,2,7,6,8
400,3,2,4,2,1,0,0,0
401,4,1,2,1,1,0,0,0
402,0,0,0,0,3,2,8,10
403,2,7,4,6,6,1,5,0
404,0,0,1,2,4,8,6,5
405,7,9,7,2,0,0,0,0
406,0,0,0,0,0,7,6,11
407,0,2,2,3,3,1,1,0
408,0,1,3,3,2,0,1,0
409,0,0,0,3,0,8,10,2
410,1,4,2,3,4,0,0,0
411,6,3,3,2,4,0,0,0
412,2,4,4,5,2,0,0,0
413,0,5,4,15,6,3,2,1
414,0,3,10,3,2,2,2,1
415,0,0,0,1,3,9,10,1
416,0,0,1,2,3,2,3,5
417,4,1,2,0,1,0,0,0
418,0,0,1,0,2,3,7,6
419,0,0,1,0,8,2,2,4
420,1,0,0,1,2,7,2,0
421,1,2,3,5,2,6,4,0
422,3,5,3,2,0,0,0,0
423,0,0,0,2,7,2,2,0
424,0,0,0,5,2,5,5,1
425,1,3,1,1,0,0,0,0
426,3,1,5,0,2,2,1,0
427,0,0,0,0,2,6,7,8
428,3,2,10,9,3,2,0,0
429,1,3,6,5,2,2,0,0
430,0,0,0,0,1,3,5,3
431,2,0,3,1,1,1,1,0
432,1,1,3,6,4,4,1,2
433,0,0,3,3,5,3,0,0
434,0,0,1,0,0,2,0,5
435,0,0,1,1,4,5,5,3
436,0,3,0,8,2,6,1,0
437,2,1,2,6,3,1,0,0
438,1,1,5,3,7,5,4,0
439,0,0,2,3,1,4,2,2
440,0,0,0,0,0,1,6,3
441,0,0,1,0,2,6,4,1
442,0,0,1,4,5,6,9,4
443,0,0,2,2,4,5,2,0
444,2,5,3,4,1,1,0,0
445,0,0,0,3,2,8,4,1
446,0,2,3,3,11,3,2,1
447,1,4,6,7,2,2,1,0
448,1,2,0,5,5,3,1,0
449,0,0,0,1,0,2,3,5
450,0,4,2,2,4,0,0,0
451,0,0,0,1,0,2,7,9
452,1,1,3,3,6,4,3,0
453,0,0,0,0,1,7,6,2
454,0,0,1,0,3,9,3,3
455,0,0,0,0,0,2,2,7
456,0,0,0,1,1,12,3,9
457,5,5,2,4,2,0,0,0
458,0,0,0,1,3,4,5,6
459,0,0,0,1,0,5,3,3
460,0,1,3,1,3,0,2,0
461,1,3,6,5,0,1,0,0
462,10,4,4,4,3,1,0,0
463,0,0,0,0,6,8,8,7
464,0,0,0,0,0,7,3,10
465,0,0,1,2,7,4,7,8
466,3,5,1,3,3,1,0,1
467,0,2,3,5,1,1,0,0
468,3,5,5,4,5,4,1,0
469,0,5,1,2,0,0,0,0
470,0,0,0,0,2,3,5,14
471,0,0,0,0,0,3,2,2
472,0,1,4,4,6,7,2,1
473,0,0,0,0,1,3,2,3
474,6,4,1,2,2,3,0,0
475,4,3,6,1,0,1,0,0
476,0,0,2,6,1,5,4,2
477,3,2,1,2,2,1,0,0
478,1,6,4,1,1,0,0,0
479,0,0,1,1,0,5,10,7
480,0,0,0,0,1,0,4,8
481,0,0,1,2,2,4,6,5
482,0,0,2,5,3,3,3,2
483,9,4,4,1,0,0,0,0
484,0,0,2,0,5,8,1,1
485,0,0,0,1,0,1,9,6
486,0,0,1,1,1,2,5,4
487,2,2,4,0,1,3,0,0
488,0,0,0,2,0,2,1,1
489,0,2,2,7,12,5,2,0
490,1,3,6,1,2,3,0,0
491,6,2,12,2,1,0,0,0
492,0,1,1,4,4,6,3,1
493,0,0,0,1,1,1,5,10
494,0,0,1,1,3,2,3,2
495,0,0,3,6,5,6,4,0
496,2,6,3,4,2,0,0,0
497,0,0,0,0,2,6,7,3
498,0,0,0,1,1,4,3,1
499,0,0,0,3,8,7,4,2
500,0,0,1,5,11,2,4,5
501,0,0,1,0,5,5,4,4
502,0,0,0,1,2,5,5,7
503,0,0,0,1,1,5,11,6
504,0,1,1,7,5,5,4,2
505,0,0,2,6,6,4,0,1
506,0,1,3,2,2,2,0,0
507,4,7,9,5,7,1,0,0
508,2,5,6,3,5,1,1,0
