Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8
1,4,10,4,1,1,0,0,0
2,0,0,0,2,14,13,9,0
3,0,0,0,0,0,4,9,7
4,0,0,0,0,2,2,5,11
5,0,2,0,3,1,2,0,1
6,0,0,7,5,6,0,0,0
7,0,0,3,1,1,8,11,1
8,6,1,6,8,10,1,0,0
9,8,11,0,2,0,0,0,0
10,2,7,0,1,0,2,0,0
11,0,6,1,1,0,1,0,0
12,0,0,8,5,10,9,6,1
13,2,1,5,6,5,5,0,1
14,0,1,3,0,3,2,2,0
15,0,0,0,0,2,3,3,2
16,1,6,3,2,1,0,0,0
17,0,1,2,3,6,15,6,2
18,0,0,1,1,2,4,10,4
19,0,1,8,4,3,0,1,0
20,0,0,0,0,2,2,2,12
21,0,1,4,3,1,0,0,0
22,0,0,0,2,1,6,9,3
23,0,0,0,0,0,3,4,3
24,0,1,1,0,1,7,2,3
25,0,0,2,2,5,8,9,5
26,0,0,1,3,0,6,6,0
27,0,0,0,2,0,6,10,5
28,0,0,3,1,4,6,7,5
29,0,2,0,3,5,1,5,0
30,2,5,2,5,3,1,2,0
31,0,4,0,0,2,2,0,0
32,2,3,12,2,2,0,0,0
33,0,5,3,0,0,4,0,0
34,0,0,1,4,7,12,8,3
35,0,1,5,8,0,6,3,3
36,5,3,10,9,9,2,0,0
37,0,0,2,4,6,6,4,1
38,2,0,1,7,0,1,2,0
39,0,0,3,3,1,7,2,0
40,0,0,1,4,4,3,8,1
41,0,0,0,1,1,8,3,2
42,0,0,0,0,0,3,9,10
43,0,0,0,0,2,0,0,3
44,3,3,6,2,7,0,0,0
45,0,1,3,5,4,1,0,0
46,0,2,3,7,4,0,2,2
47,0,0,0,1,9,8,5,2
48,0,0,0,1,1,2,8,7
49,0,0,1,7,2,10,2,1
50,3,5,0,6,3,0,0,0
51,7,5,13,6,1,0,0,0
52,2,7,8,9,7,1,2,0
53,0,0,0,1,3,5,13,16
54,0,0,0,0,4,7,7,8
55,0,3,3,5,0,7,4,2
56,0,0,7,10,9,10,9,3
57,0,0,0,1,1,2,3,0
58,0,0,0,1,2,6,3,5
59,0,0,2,0,1,3,0,0
60,0,0,0,2,0,7,18,7
61,9,7,5,0,0,0,0,0
62,0,0,0,1,1,1,0,3
63,0,0,0,7,3,9,8,4
64,2,11,5,3,0,0,1,0
65,0,0,0,0,0,6,4,5
66,0,0,6,7,0,8,4,0
67,4,3,0,6,0,1,0,0
68,4,4,12,7,0,3,0,0
69,1,7,4,2,1,0,0,0
70,2,6,5,6,19,3,0,1
71,0,3,5,6,5,4,1,0
72,5,4,2,3,1,0,0,0
73,0,1,2,5,1,3,0,1
74,0,0,0,2,5,8,8,17
75,0,0,0,0,0,2,6,6
76,2,6,0,4,5,3,0,1
77,0,0,0,1,0,6,12,8
78,0,3,5,3,0,2,0,0
79,0,0,0,3,0,6,2,12
80,1,5,2,6,1,1,0,0
81,0,0,1,3,9,4,10,1
82,1,2,1,5,7,7,2,3
83,0,0,0,0,0,7,12,4
84,1,2,6,2,0,2,0,0
85,1,7,7,4,5,4,1,0
86,0,0,0,0,3,6,7,8
87,0,1,1,5,7,9,0,6
88,0,0,0,2,0,12,8,3
89,0,0,0,1,3,4,11,16
90,3,2,3,0,1,0,0,0
91,0,0,0,2,3,7,1,4
92,6,7,8,0,1,2,0,0
93,5,10,0,6,2,3,0,0
94,5,1,3,6,2,0,0,0
95,0,0,0,0,1,7,15,13
96,6,4,5,10,0,2,0,0
97,0,0,0,1,5,5,7,14
98,8,10,4,1,0,0,0,0
99,1,4,0,6,4,0,0,0
100,7,3,4,4,1,0,0,0
101,0,0,0,0,0,3,3,9
102,0,0,1,2,1,4,9,4
103,0,0,0,0,1,3,9,12
104,5,5,9,0,4,0,0,0
105,0,0,0,0,1,12,9,11
106,3,2,3,0,0,0,1,0
107,1,1,2,7,4,1,4,0
108,7,10,5,3,6,1,0,0
109,4,3,2,1,3,0,0,0
110,0,1,5,4,8,3,2,0
111,0,0,1,0,2,1,7,0
112,1,0,1,2,2,5,3,2
113,0,0,0,0,3,14,5,16
114,0,0,2,5,1,4,7,6
115,0,0,2,2,0,7,12,7
116,2,0,1,3,7,9,13,13
117,0,0,0,0,0,9,7,2
118,0,1,1,2,4,1,5,2
119,9,8,8,6,2,0,1,0
120,0,1,6,1,11,7,1,0
121,0,0,1,0,6,7,16,15
122,0,0,0,3,2,13,7,13
123,3,6,3,6,1,1,0,1
124,0,0,6,1,0,0,0,0
125,0,0,0,0,7,3,5,4
126,2,2,8,2,5,2,0,0
127,0,1,1,3,15,10,3,0
128,1,8,15,11,5,4,3,0
129,0,0,1,0,3,6,1,2
130,3,0,4,0,2,1,0,0
131,7,0,4,5,2,1,0,0
132,3,1,1,2,1,0,0,0
133,5,3,1,5,0,0,0,0
134,5,3,2,3,6,0,0,0
135,11,14,11,8,3,0,0,0
136,0,0,0,0,0,2,10,10
137,0,0,1,1,2,3,13,5
138,0,0,3,0,5,10,3,4
139,8,6,11,6,3,0,0,0
140,0,0,1,1,5,12,13,10
141,0,0,0,0,0,2,9,18
142,7,1,4,1,0,0,0,0
143,0,6,2,4,4,2,0,0
144,8,9,7,4,1,0,0,0
145,0,0,0,0,1,2,5,6
146,3,4,0,2,0,0,0,0
147,0,0,0,5,8,7,2,1
148,0,0,1,0,7,7,4,0
149,1,2,0,6,3,3,0,0
150,4,1,3,1,2,0,0,0
151,0,1,7,13,8,14,10,5
152,0,0,0,0,1,3,4,0
153,0,0,0,0,2,1,3,3
154,1,0,0,7,5,8,1,0
155,5,11,4,15,1,3,0,0
156,0,1,3,1,4,3,1,0
157,7,4,6,5,5,2,1,1
158,0,2,5,4,5,5,1,0
159,2,0,1,5,1,3,0,0
160,0,0,2,4,0,5,6,7
161,2,6,7,9,3,0,0,0
162,1,2,3,5,6,0,0,0
163,5,0,10,4,1,1,0,0
164,0,0,2,4,1,0,0,0
165,0,2,7,3,3,0,0,0
166,1,14,5,10,0,0,0,0
167,3,5,3,3,1,0,1,0
168,3,5,0,3,0,0,0,0
169,0,0,0,0,0,2,5,6
170,1,1,2,4,6,11,5,3
171,0,3,4,9,8,6,0,0
172,4,2,12,4,1,0,1,0
173,0,1,0,7,5,3,3,0
174,0,0,1,1,8,2,1,0
175,2,1,8,0,3,0,0,0
176,0,0,0,2,0,8,6,6
177,0,4,8,5,6,6,2,3
178,0,0,2,2,7,6,0,1
179,0,0,5,6,7,2,10,6
180,0,4,1,2,1,3,2,0
181,0,0,0,0,4,5,8,3
182,0,0,4,2,1,4,0,1
183,0,0,0,1,3,5,17,14
184,0,3,0,7,5,8,7,4
185,0,4,5,1,2,3,1,0
186,3,3,2,1,2,2,1,0
187,1,0,0,0,4,9,10,1
188,0,0,1,0,0,7,15,7
189,10,4,9,3,1,1,0,0
190,0,3,2,4,4,4,2,0
191,0,6,6,5,3,0,0,0
192,6,12,11,5,1,0,0,0
193,4,7,13,7,0,0,0,0
194,0,0,0,1,1,1,7,0
195,0,0,0,3,7,7,13,4
196,0,0,0,1,4,7,4,6
197,0,3,8,4,3,11,0,0
198,2,9,14,4,3,2,0,0
199,7,4,6,1,3,4,0,0
200,0,0,1,5,6,11,9,1
201,0,0,0,0,1,5,7,6
202,0,2,0,2,3,3,1,2
203,0,0,0,0,1,2,5,4
204,0,0,2,6,5,5,10,11
205,1,0,10,2,8,1,4,0
206,0,3,4,3,5,3,0,0
207,6,5,2,3,0,0,0,0
208,8,2,11,5,6,0,0,1
209,2,0,5,6,2,0,2,3
210,1,1,0,1,0,4,4,0
211,0,2,0,4,2,9,2,0
212,11,7,8,1,3,0,0,0
213,0,0,4,4,8,12,9,0
214,0,0,0,1,3,11,0,0
215,0,0,3,2,1,11,11,6
216,0,0,0,0,1,5,5,2
217,0,0,1,0,2,10,9,14
218,0,1,0,3,4,3,4,2
219,10,4,7,2,2,1,0,0
220,6,3,8,0,0,4,0,0
221,0,4,6,4,2,2,0,1
222,8,4,6,0,4,0,0,0
223,0,1,2,0,2,3,1,0
224,0,4,2,5,0,4,2,0
225,0,1,1,0,8,4,8,5
226,0,0,0,6,3,6,5,4
227,8,7,9,5,1,1,0,0
