Store_ID,Size_1,Size_2,Size_3,Size_4
1,0,0,1,4
2,0,0,1,8
3,0,3,14,9
4,1,2,6,1
5,0,0,0,0
6,1,2,4,0
7,6,4,0,0
8,0,4,7,4
9,2,8,0,1
10,0,0,2,6
11,0,0,0,1
12,0,3,2,3
13,0,14,5,2
14,0,0,0,3
15,8,1,3,0
16,0,0,0,6
17,0,2,1,10
18,0,2,9,3
19,0,4,2,0
20,4,0,3,0
21,5,8,5,0
22,3,3,1,0
23,4,4,5,0
24,4,0,5,0
25,2,4,5,0
26,0,0,1,8
27,0,0,4,3
28,0,0,3,6
29,1,2,6,2
30,5,3,2,0
31,1,3,6,3
32,2,4,7,0
33,0,3,7,1
34,2,4,4,0
35,4,9,13,1
36,0,4,13,4
37,0,0,3,6
38,1,2,7,1
39,1,6,1,1
40,0,0,1,12
41,0,1,2,11
42,1,7,7,1
43,2,2,1,0
44,0,0,3,12
45,1,1,4,0
46,4,10,2,0
47,0,1,6,0
48,0,1,6,13
49,0,0,8,4
50,0,0,8,4
51,0,0,6,4
52,0,4,2,0
53,0,0,5,11
54,0,0,3,6
55,0,0,2,0
56,0,0,3,17
57,0,0,2,3
58,5,3,0,0
59,0,0,8,1
60,0,1,0,6
61,0,2,2,7
62,5,2,1,0
63,6,12,8,0
64,1,3,3,1
65,2,4,0,0
66,0,0,3,14
67,1,2,1,0
68,5,10,0,0
69,0,0,2,1
70,2,13,10,0
71,0,0,3,11
72,0,1,0,4
73,0,2,4,3
74,0,0,6,9
75,0,0,0,2
76,0,9,3,0
77,2,5,1,2
78,0,0,7,9
79,0,4,0,0
80,0,3,1,4
81,0,0,4,15
82,1,3,6,2
83,0,5,6,3
84,0,2,2,3
85,0,0,5,7
86,0,6,12,5
87,1,3,12,3
88,4,13,2,0
89,13,8,1,0
90,0,6,0,1
91,0,0,2,12
92,0,0,1,7
93,2,2,2,0
94,0,0,4,5
95,0,5,2,0
96,0,0,1,12
97,0,0,3,8
98,1,12,4,0
99,0,0,2,3
100,0,2,2,0
101,0,0,3,0
102,0,4,9,4
103,0,4,3,0
104,0,3,7,3
105,0,0,5,0
106,0,0,1,5
107,2,9,5,0
108,0,2,7,6
109,0,0,4,0
110,0,0,0,0
111,0,0,1,5
112,0,1,7,7
113,0,5,3,0
114,0,0,0,13
115,0,0,3,13
116,11,14,4,0
117,0,4,7,12
118,0,3,1,0
119,2,3,16,5
120,0,0,2,6
121,0,0,8,17
122,0,0,6,17
123,1,4,0,2
124,3,2,1,0
125,0,2,5,2
126,0,3,2,11
127,0,0,3,13
128,0,0,7,12
129,0,0,3,5
130,0,2,10,7
131,0,0,6,7
132,0,4,9,2
133,0,0,1,2
134,1,3,1,6
135,0,0,4,18
136,0,4,6,0
137,0,0,6,0
138,2,2,2,0
139,0,3,1,1
140,0,0,4,11
141,0,6,7,8
142,4,0,1,0
143,0,2,10,11
144,1,0,2,0
145,0,8,2,4
146,0,0,3,4
147,0,0,3,10
148,1,6,8,2
149,0,2,2,8
150,1,11,1,0
151,2,7,4,3
152,3,4,0,0
153,6,8,1,0
154,3,5,0,0
155,2,7,12,1
156,0,0,6,0
157,3,9,1,0
158,0,0,2,11
159,2,2,0,0
160,0,5,1,0
161,6,6,2,0
162,0,0,10,2
163,4,12,4,0
164,2,8,1,1
165,0,0,0,13
166,0,0,6,10
167,0,1,11,5
168,1,5,0,0
169,0,1,1,5
170,0,2,4,8
171,0,0,0,11
172,0,4,5,0
173,0,0,1,0
174,0,0,3,14
175,2,5,16,4
176,0,0,4,5
177,0,0,1,9
178,0,0,10,12
179,0,0,3,12
180,6,2,2,0
181,0,9,8,0
182,0,2,1,0
183,2,6,8,5
184,1,10,8,2
185,0,0,2,6
186,7,8,8,1
187,0,5,2,4
188,0,1,0,5
189,0,0,4,7
190,0,0,3,0
191,0,2,3,1
192,3,12,4,0
193,9,8,1,4
194,1,7,3,2
195,0,1,8,0
196,0,2,6,6
197,4,0,0,0
198,3,1,8,1
199,3,5,4,1
200,0,0,2,7
201,6,6,3,0
202,2,2,2,1
203,0,0,2,2
204,0,2,9,6
205,2,0,10,0
206,0,2,6,5
207,0,0,6,0
208,1,6,0,0
209,0,0,3,4
210,0,5,7,2
211,0,0,3,5
212,0,1,2,10
213,0,7,7,0
214,0,0,0,8
215,0,7,0,0
216,0,0,0,0
217,5,4,4,1
218,0,2,3,0
219,0,3,4,1
220,0,2,6,8
221,2,7,9,1
222,0,5,5,0
223,4,0,0,1
224,0,5,5,1
225,0,0,0,1
226,3,4,1,0
227,5,8,2,0
228,3,10,6,0
229,0,0,6,15
230,0,0,2,7
231,8,6,8,0
232,0,0,2,11
233,0,0,2,4
234,0,0,0,3
235,0,0,4,5
236,10,4,2,0
237,0,0,6,3
238,0,1,0,5
239,0,4,4,4
240,0,0,3,3
241,0,0,8,4
242,0,0,2,13
243,4,17,9,2
244,1,4,4,0
245,0,0,0,5
246,0,0,5,17
247,2,6,2,0
248,0,6,8,0
249,8,7,1,0
250,12,9,1,0
251,0,0,1,3
252,1,2,5,4
253,7,7,2,0
254,10,10,0,0
255,0,3,1,3
256,0,1,4,4
257,0,5,7,4
258,2,11,2,1
259,0,5,1,0
260,0,0,0,7
261,0,4,2,2
262,3,15,2,0
263,1,5,1,0
