Store_ID,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6
1,4,4,2,5,0,0
2,0,5,10,9,1,0
3,10,5,5,1,0,0
4,1,9,5,3,3,0
5,0,10,3,2,0,0
6,0,0,0,0,11,4
7,0,0,0,3,7,3
8,9,12,9,4,0,0
9,0,0,0,3,2,7
10,0,0,0,12,12,5
11,0,0,0,1,4,2
12,0,2,3,10,11,4
13,0,0,0,4,9,8
14,1,1,5,4,0,0
15,0,1,5,1,4,7
16,0,0,8,0,0,0
17,1,3,0,3,4,0
18,0,0,0,4,6,11
19,3,5,1,8,0,1
20,0,0,1,14,7,2
21,0,0,0,5,9,3
22,0,0,3,5,5,4
23,0,0,4,1,3,7
24,7,7,3,2,1,0
25,3,4,6,6,0,0
26,7,4,10,2,0,0
27,0,0,2,3,1,0
28,0,0,5,6,2,3
29,4,8,0,1,0,0
30,0,2,5,0,3,1
31,0,0,0,3,12,3
32,0,1,7,4,0,1
33,0,0,1,1,5,6
34,0,0,7,7,4,8
35,0,0,4,2,14,5
36,3,10,6,4,2,1
37,1,7,6,6,1,2
38,1,0,7,4,0,0
39,3,11,5,1,0,0
40,0,1,4,6,3,7
41,0,0,0,3,4,5
42,5,2,5,0,1,0
43,2,1,4,1,1,0
44,4,7,4,4,0,0
45,0,0,0,0,0,3
46,0,0,0,2,8,8
47,1,0,8,3,2,0
48,2,5,7,3,3,0
49,8,7,9,3,1,0
50,0,0,0,3,7,8
51,1,2,8,8,10,1
52,0,3,2,6,3,1
53,0,8,10,2,1,0
54,0,0,1,9,7,10
55,3,1,6,0,0,0
56,0,0,7,11,2,3
57,1,1,4,7,0,1
58,0,0,0,0,1,3
59,0,0,3,1,0,3
60,2,10,7,3,1,0
61,0,0,2,4,4,10
62,5,6,0,1,0,0
63,0,0,1,9,12,10
64,3,8,9,2,2,0
65,0,0,0,0,1,6
66,3,6,6,2,3,0
67,1,8,2,1,0,0
68,0,4,2,8,4,0
69,6,4,6,0,0,0
70,3,12,11,7,2,2
71,0,1,0,6,7,2
72,0,0,0,1,6,13
73,0,1,3,0,8,3
74,0,1,5,4,2,0
75,0,0,0,4,8,7
76,0,0,0,3,6,9
77,0,0,1,1,7,1
78,0,0,3,8,3,5
79,1,2,4,9,3,4
80,0,0,0,0,1,2
81,2,4,19,4,0,0
82,0,0,5,8,2,0
83,0,0,2,3,7,5
84,2,0,5,16,0,0
85,3,9,5,6,2,0
86,8,9,2,5,0,0
87,0,2,2,12,0,1
88,0,0,0,1,13,14
89,0,5,9,5,10,0
90,0,3,3,8,5,0
91,0,0,3,3,0,4
92,1,3,5,7,4,0
93,0,7,3,0,1,0
94,1,3,14,2,0,0
95,4,9,6,1,0,0
96,0,0,0,3,0,5
97,0,0,0,9,12,10
98,0,0,0,3,10,14
99,0,0,0,4,3,1
100,0,0,5,2,1,0
101,1,4,9,1,1,0
102,0,0,0,2,2,2
103,3,1,3,7,6,2
104,0,3,2,3,3,0
105,0,0,0,4,10,9
106,4,7,1,1,0,0
107,4,9,3,3,0,0
108,3,2,6,7,3,2
109,0,0,0,2,3,0
110,0,1,2,3,0,0
111,0,0,2,5,0,0
112,0,0,1,2,6,2
113,3,5,3,3,0,0
114,0,0,0,2,5,12
115,4,5,6,3,1,3
116,5,7,4,2,0,0
117,0,0,1,2,2,14
118,0,0,0,0,3,5
119,0,2,5,2,6,5
120,0,3,1,9,7,0
121,0,0,0,3,6,21
122,0,0,0,2,4,4
123,0,5,3,2,1,1
124,0,3,6,7,4,1
125,1,3,4,1,2,1
126,0,0,0,4,7,0
127,3,14,5,4,0,0
128,1,2,3,10,2,3
129,1,5,4,4,4,0
130,0,2,5,9,4,0
131,5,4,13,2,2,0
132,0,6,1,0,0,0
133,1,2,6,0,0,0
134,0,0,3,10,7,1
135,0,0,1,2,14,3
136,0,1,8,5,2,4
137,2,4,2,1,1,0
138,0,3,6,6,3,3
139,0,0,1,2,5,4
140,4,4,10,0,2,0
141,2,17,8,3,2,0
142,0,3,1,2,8,2
143,0,0,1,5,10,4
144,0,0,0,3,10,6
145,2,0,3,0,3,0
146,0,0,0,0,1,7
147,2,5,4,9,1,3
148,3,8,7,6,3,0
149,0,1,3,0,0,0
150,0,0,0,4,5,1
151,0,0,0,4,13,16
152,2,1,4,1,0,1
153,0,0,0,1,7,1
154,1,1,11,6,5,0
155,0,3,10,15,2,1
156,0,0,1,4,0,0
157,0,0,4,3,5,6
158,3,13,1,3,2,0
159,0,4,4,0,0,0
160,0,0,3,12,2,0
161,0,0,1,2,3,12
162,0,2,1,3,4,1
163,1,9,6,0,1,0
164,4,2,2,9,0,1
165,0,5,4,2,0,0
166,0,0,0,1,0,12
167,2,2,5,1,6,0
168,3,3,0,0,0,0
169,0,0,4,0,2,0
170,0,0,0,3,4,5
171,0,0,0,4,4,0
172,0,2,8,2,3,0
173,5,4,4,1,0,0
174,1,0,0,4,2,2
175,3,5,8,10,3,0
176,0,3,2,1,2,1
177,0,1,0,2,10,11
178,0,4,3,12,5,1
179,0,8,9,3,0,0
180,0,1,0,0,5,0
181,3,2,0,0,0,0
182,0,0,2,1,1,4
183,0,4,11,7,6,1
184,9,5,9,0,0,0
185,0,1,0,6,6,2
186,3,6,8,0,1,0
187,0,0,1,5,6,12
188,0,0,1,1,8,8
189,8,10,1,5,0,0
190,0,0,0,2,5,2
191,7,8,0,1,0,1
192,4,8,0,1,2,0
193,0,0,0,0,10,12
194,0,0,0,0,13,13
195,0,4,2,1,8,2
196,0,0,0,1,7,7
197,1,9,6,4,1,0
198,1,7,9,11,9,1
199,1,6,4,7,2,0
200,5,6,5,3,0,0
201,6,0,12,0,2,0
202,0,7,7,4,4,1
203,0,0,0,6,8,5
204,0,0,1,11,11,17
205,6,1,6,1,0,0
206,0,0,0,1,1,1
207,0,3,2,3,3,0
208,0,0,3,2,6,6
209,2,3,1,1,0,0
210,0,0,3,5,5,2
211,5,1,8,2,2,0
212,1,3,14,2,2,0
213,0,0,0,3,8,6
214,1,2,8,1,0,0
215,1,5,1,2,3,0
216,0,2,0,0,0,0
217,0,1,7,5,3,1
218,3,4,8,3,4,1
219,0,0,5,7,10,5
220,2,8,8,5,0,1
221,0,1,0,4,7,7
222,0,0,1,0,11,0
223,0,2,3,5,2,0
224,2,3,7,5,1,2
225,0,2,3,4,0,0
226,0,1,0,6,1,1
227,0,0,0,2,20,7
228,0,1,3,6,10,4
229,1,5,15,3,0,0
230,0,0,0,4,11,11
231,0,0,0,2,6,2
232,0,5,4,8,0,0
233,7,5,3,1,0,0
234,1,4,8,9,7,0
235,2,0,5,4,6,0
236,0,0,0,3,4,14
237,3,1,0,4,0,0
238,3,5,0,6,2,0
239,0,0,0,2,8,12
240,0,3,4,2,1,0
241,0,0,0,2,6,12
242,2,8,18,0,2,1
243,7,4,8,5,0,0
244,1,0,7,4,6,1
245,0,0,0,1,0,10
246,3,10,9,1,0,0
247,0,2,4,5,5,0
248,0,0,2,4,10,13
249,0,0,1,2,18,10
250,7,14,3,0,0,0
251,0,1,8,0,0,0
252,0,1,2,6,3,4
253,0,0,4,6,4,4
254,0,8,7,1,3,0
255,0,0,0,2,5,2
256,0,0,4,5,5,3
257,0,0,1,9,7,7
258,0,0,0,5,5,13
259,0,3,6,6,7,9
260,0,1,0,2,3,8
261,3,1,2,1,0,0
262,7,7,10,0,0,0
263,0,0,3,2,0,4
264,0,2,6,9,7,7
265,11,4,0,4,0,0
